query,product_id,Baseline_Vis,Baseline_VGS,Baseline_Overall,Trained_Vis,Trained_VGS,Trained_Overall,Winner,Baseline_Pct,Trained_Pct
intense hydration ultra repair cream,B003XKKCZW,0.0,1.0,0.5,0.615,1.0,0.8075,Trained,0.0%,100.0%
intense hydration ultra repair cream,B07M7BR7WJ,0.0,0.7696,0.3848,0.6065,0.8528,0.72965,Trained,0.0%,100.0%
intense hydration ultra repair cream,B081RBRCMJ,0.5292,0.7222,0.6256999999999999,0.4116,0.6798,0.5457,Baseline,33.3%,66.7%
eyebrow fiber for defined brows,B07JLYP98Q,2.0571,0.7623,1.4097,0.0,0.8798,0.4399,Baseline,50.0%,50.0%
eyebrow fiber for defined brows,B083H7G738,0.4941,1.0,0.74705,0.8797,0.826,0.85285,Trained,40.0%,60.0%
eyebrow fiber for defined brows,B01MATMJXF,0.0,0.8345,0.41725,0.0,1.0,0.5,Trained,33.3%,66.7%
silicone nail art mat for salon use,B07J9T4QVR,3.3844,1.0,2.1921999999999997,2.6796,1.0,1.8398,Baseline,42.9%,57.1%
silicone nail art mat for salon use,B0928BHSV4,0.5621,0.8972,0.72965,0.1296,0.7012,0.4154,Baseline,50.0%,50.0%
silicone nail art mat for salon use,B09S33FR5H,0.1485,0.753,0.45075,3.2619,0.7577,2.0098,Trained,44.4%,55.6%
body butter for dry skin with shea butter,B08WM4CXT7,0.0,1.0,0.5,0.5134,0.7627,0.63805,Trained,40.0%,60.0%
body butter for dry skin with shea butter,B09BHYPJ3Q,2.1512,1.0,1.5756,2.7822,1.0,1.8911,Trained,36.4%,63.6%
body butter for dry skin with shea butter,B00VU7YSVY,1.3368,1.0,1.1684,0.03,0.9031,0.46655,Baseline,41.7%,58.3%
butterfly hair clip with tassel for thick hair,B092CT47J1,4.009,0.7459,2.37745,1.6606,0.7589,1.20975,Baseline,46.2%,53.8%
butterfly hair clip with tassel for thick hair,B018CJ98LC,2.8824,0.8928,1.8876,3.8424,1.0,2.4212,Trained,42.9%,57.1%
butterfly hair clip with tassel for thick hair,B08C76XQCQ,9.5364,0.9442,5.2403,1.1774,0.8752,1.0263,Baseline,46.7%,53.3%
vegan lip balm with lemongrass 5 pack,B0735D8CCY,0.1954,0.5051,0.35025,0.8676,0.5159,0.6917500000000001,Trained,43.8%,56.2%
vegan lip balm with lemongrass 5 pack,B098F1Z311,5.8506,0.7032,3.2769,0.0,0.7793,0.38965,Baseline,47.1%,52.9%
vegan lip balm with lemongrass 5 pack,B07XKCBF5Q,1.2054,0.9499,1.07765,0.6762,0.7667,0.72145,Baseline,50.0%,50.0%
strong hair shampoo thickening fullness,B0B64W2DKK,0.0,0.9806,0.4903,0.0,0.8842,0.4421,Baseline,52.6%,47.4%
strong hair shampoo thickening fullness,B082SZTGRB,0.7196,0.8797,0.79965,1.9043,1.0,1.45215,Trained,50.0%,50.0%
strong hair shampoo thickening fullness,B09NBNC7XV,2.0804,0.8195,1.44995,0.1215,0.8643,0.4929,Baseline,52.4%,47.6%
black braid hair 24 inch,B096Y112VT,0.0,0.8649,0.43245,0.6065,0.8367,0.7216,Trained,50.0%,50.0%
black braid hair 24 inch,B08P8CPW24,1.0665,0.8372,0.9518500000000001,0.7763,0.9117,0.844,Baseline,52.2%,47.8%
black braid hair 24 inch,B098FGQ9Z6,0.6649,0.9494,0.80715,1.7062,1.0,1.3531,Trained,50.0%,50.0%
fleece sweatshirt big & tall with ribbed collar,B09HW26SWL,0.1572,0.9213,0.53925,0.6031,0.8449,0.724,Trained,48.0%,52.0%
fleece sweatshirt big & tall with ribbed collar,B09D3NVGDX,0.0,1.0,0.5,0.0,1.0,0.5,Tie,46.2%,50.0%
fleece sweatshirt big & tall with ribbed collar,B0819KD2Q1,0.0,0.7358,0.3679,0.178,0.725,0.4515,Trained,44.4%,51.9%
plus size underwear soft cotton briefs,B0834C3KYG,2.9325,0.9415,1.937,0.8131,0.9439,0.8785000000000001,Baseline,46.4%,50.0%
plus size underwear soft cotton briefs,B077THFWSZ,0.0,0.919,0.4595,0.0,0.8051,0.40255,Baseline,48.3%,48.3%
plus size underwear soft cotton briefs,B005GVBU2K,0.5325,0.9252,0.72885,0.0563,0.8694,0.46285,Baseline,50.0%,46.7%
black sandals non slip thick sole,B082M1P54F,0.8782,0.8863,0.88225,0.6586,0.7256,0.6920999999999999,Baseline,51.6%,45.2%
black sandals non slip thick sole,B0BPPFZ813,1.5098,0.9401,1.22495,0.0,0.9975,0.49875,Baseline,53.1%,43.8%
black sandals non slip thick sole,B0C2C4BP1V,1.63,1.0,1.315,1.0205,0.869,0.94475,Baseline,54.5%,42.4%
funny saying t shirt birthday gift,B08T7B88ZR,0.0,0.7011,0.35055,2.1961,0.7766,1.4863499999999998,Trained,52.9%,44.1%
funny saying t shirt birthday gift,B09JC2VHF8,0.9714,0.7722,0.8718,2.2283,1.0,1.61415,Trained,51.4%,45.7%
funny saying t shirt birthday gift,B07S2YXDGK,0.0,0.7428,0.3714,1.5534,0.8635,1.20845,Trained,50.0%,47.2%
Modern unisex seaside sneaker,B076JX4QWT,0.5801,0.7756,0.67785,0.0,0.9075,0.45375,Baseline,51.4%,45.9%
Modern unisex seaside sneaker,B0BH3ZNZWG,0.0,1.0,0.5,0.0,0.7638,0.3819,Baseline,52.6%,44.7%
Modern unisex seaside sneaker,B0B6VZQ7XG,0.5266,0.5555,0.54105,1.1258,0.4201,0.7729499999999999,Trained,51.3%,46.2%
red cycling jersey for mountain bike,B0796RQBYL,0.0643,0.6539,0.35910000000000003,0.0,0.5462,0.2731,Baseline,52.5%,45.0%
red cycling jersey for mountain bike,B07C7XYD67,0.0,0.9429,0.47145,3.9318,0.9072,2.4195,Trained,51.2%,46.3%
red cycling jersey for mountain bike,B08TRX6WR5,0.0,0.9641,0.48205,0.954,0.6899,0.82195,Trained,50.0%,47.6%
women's insulated gloves thinsulate cold weather,B00FS9CWCC,0.5453,0.8829,0.7141,0.0,0.7724,0.3862,Baseline,51.2%,46.5%
women's insulated gloves thinsulate cold weather,B081JQTQ5V,0.0,0.9294,0.4647,1.5781,0.903,1.24055,Trained,50.0%,47.7%
women's insulated gloves thinsulate cold weather,B0B8XBJDQB,2.4386,0.8554,1.647,3.3325,0.8721,2.1023,Trained,48.9%,48.9%
off shoulder top bell sleeves summer event,B08YK5N7KC,1.4157,0.7978,1.10675,1.4113,1.0,1.2056499999999999,Trained,47.8%,50.0%
off shoulder top bell sleeves summer event,B088FNF56Z,0.0,0.494,0.247,0.6418,0.8674,0.7545999999999999,Trained,46.8%,51.1%
off shoulder top bell sleeves summer event,B0B122J8NX,3.8485,0.895,2.37175,1.0851,0.8115,0.9482999999999999,Baseline,47.9%,50.0%
moonstone triple moon cuff bracelet,B09JV9V753,0.0,0.9705,0.48525,0.0,0.9244,0.4622,Baseline,49.0%,49.0%
moonstone triple moon cuff bracelet,B07C2KKH1F,0.7394,0.7925,0.7659499999999999,0.1253,0.6039,0.3646,Baseline,50.0%,48.0%
moonstone triple moon cuff bracelet,B0765N8M8W,1.2835,1.0,1.14175,0.818,0.9284,0.8732,Baseline,51.0%,47.1%
sea glass turquoise earrings handmade,B07RC1SJ2J,3.6343,0.7621,2.1982,0.2812,0.8452,0.5631999999999999,Baseline,51.9%,46.2%
sea glass turquoise earrings handmade,B07CMMS8PV,3.2874,1.0,2.1437,0.7996,0.8915,0.84555,Baseline,52.8%,45.3%
sea glass turquoise earrings handmade,B079SRWT8R,0.764,0.8884,0.8262,2.3343,0.8091,1.5716999999999999,Trained,51.9%,46.3%
handmade bible globe ornament Christmas,B01C4I9J16,0.0,0.9201,0.46005,0.0965,1.0,0.54825,Trained,50.9%,47.3%
handmade bible globe ornament Christmas,B09JLVS7GC,0.1461,1.0,0.5730500000000001,0.962,1.0,0.981,Trained,50.0%,48.2%
handmade bible globe ornament Christmas,B08L76V45M,0.0,0.934,0.467,1.839,0.5587,1.19885,Trained,49.1%,49.1%
broken heart necklace gold,B092JJS23Q,0.0,1.0,0.5,0.5101,0.9169,0.7135,Trained,48.3%,50.0%
broken heart necklace gold,B0C2MWSP5J,5.9385,0.7584,3.34845,0.0,0.8345,0.41725,Baseline,49.2%,49.2%
broken heart necklace gold,B0BS49JQMK,0.8184,0.8712,0.8448,1.6187,1.0,1.30935,Trained,48.3%,50.0%
lightweight geometric leather earrings,B07MXRJRTG,1.8106,0.9762,1.3934,0.8201,1.0,0.91005,Baseline,49.2%,49.2%
lightweight geometric leather earrings,B07PYXLPSK,0.0,0.7405,0.37025,0.0,0.5961,0.29805,Baseline,50.0%,48.4%
lightweight geometric leather earrings,B085WNDGQB,0.128,0.7787,0.45335,1.2763,0.6443,0.9602999999999999,Trained,49.2%,49.2%
customize dog name tag for gold,B09V7MRMJ7,9.71,1.0,5.355,0.0,1.0,0.5,Baseline,50.0%,48.4%
customize dog name tag for gold,B09TDLSJZX,0.0,1.0,0.5,0.7952,1.0,0.8976,Trained,49.2%,49.2%
customize dog name tag for gold,B0BR846PYC,3.2113,0.7686,1.9899499999999999,1.3072,1.0,1.1536,Baseline,50.0%,48.5%
skull skeleton silicone cake mold,B07M757257,1.051,1.0,1.0255,0.0,1.0,0.5,Baseline,50.7%,47.8%
skull skeleton silicone cake mold,B09VBTSJVG,0.0,1.0,0.5,1.2732,0.7863,1.02975,Trained,50.0%,48.5%
skull skeleton silicone cake mold,B08FR3LBN4,0.4808,1.0,0.7404,0.0,0.8582,0.4291,Baseline,50.7%,47.8%
Red Rose Afghan hound dish towel,B07X28213H,1.2534,0.2453,0.7493500000000001,0.3865,0.5041,0.44530000000000003,Baseline,51.4%,47.1%
Red Rose Afghan hound dish towel,B085128GG9,0.0,0.8684,0.4342,0.4358,0.4778,0.4568,Trained,50.7%,47.9%
Red Rose Afghan hound dish towel,B015T1WKF2,0.6144,1.0,0.8071999999999999,1.5566,0.7465,1.15155,Trained,50.0%,48.6%
stainless steel oil filter for cooking,B07W4YVMP1,2.3488,1.0,1.6744,3.3145,0.8202,2.06735,Trained,49.3%,49.3%
stainless steel oil filter for cooking,B08BJQS4ZX,1.2097,0.8253,1.0175,0.0,0.8581,0.42905,Baseline,50.0%,48.6%
stainless steel oil filter for cooking,B091D468ZB,1.6337,0.778,1.2058499999999999,5.6865,0.8224,3.25445,Trained,49.3%,49.3%
essential oil storage box 40 bottle capacity,B07JD1Z2BM,4.0556,0.8869,2.47125,4.5153,0.9857,2.7504999999999997,Trained,48.7%,50.0%
essential oil storage box 40 bottle capacity,B01DR382P6,3.5203,0.9902,2.25525,2.218,0.8613,1.53965,Baseline,49.4%,49.4%
essential oil storage box 40 bottle capacity,B07RYFJ9Y7,1.0348,0.9911,1.01295,1.1433,0.6859,0.9146,Baseline,50.0%,48.7%
red green tablecloth for dinner party,B07WTBC69Q,0.6058,1.0,0.8029,0.0,1.0,0.5,Baseline,50.6%,48.1%
red green tablecloth for dinner party,B0915MH9HQ,0.0,1.0,0.5,0.5353,1.0,0.7676499999999999,Trained,50.0%,48.8%
red green tablecloth for dinner party,B07JXSCZGD,0.0524,0.934,0.4932,0.0,0.9392,0.4696,Baseline,50.6%,48.1%
Egyptian cotton pillowcase with zipper,B084DPYLKX,0.0,0.7737,0.38685,2.5164,0.9001,1.70825,Trained,50.0%,48.8%
Egyptian cotton pillowcase with zipper,B0BN95NVNX,1.3644,0.7716,1.068,7.0883,0.8317,3.96,Trained,49.4%,49.4%
Egyptian cotton pillowcase with zipper,B092MLNXXP,9.4388,0.961,5.1999,3.1136,1.0,2.0568,Baseline,50.0%,48.8%
egg basket storage for kitchen decor,B09JVKMHBF,0.0,1.0,0.5,1.5831,1.0,1.29155,Trained,49.4%,49.4%
egg basket storage for kitchen decor,B082QWHF17,0.5313,1.0,0.7656499999999999,0.0,0.8528,0.4264,Baseline,50.0%,48.8%
egg basket storage for kitchen decor,B08DY7WXZ8,0.0,0.8841,0.44205,0.2234,0.928,0.5757,Trained,49.4%,49.4%
bathroom slippers thick sole cushion non slip,B08TWZ16P2,0.5214,0.7998,0.6606,5.0608,0.886,2.9734000000000003,Trained,48.9%,50.0%
bathroom slippers thick sole cushion non slip,B08Z3NMPWP,1.2162,0.9506,1.0834,1.5518,0.6298,1.0908,Trained,48.3%,50.6%
bathroom slippers thick sole cushion non slip,B0B5GT6CNZ,0.4264,0.8188,0.6226,0.2863,0.8489,0.5676,Baseline,48.9%,50.0%
