query,product_id,Baseline_Vis,Baseline_VGS,Baseline_Overall,Trained_Vis,Trained_VGS,Trained_Overall,Winner,Baseline_Pct,Trained_Pct
intense hydration ultra repair cream,B003XKKCZW,0.0,1.0,0.5,0.0,1.0,0.5,Tie,0.0%,0.0%
intense hydration ultra repair cream,B07M7BR7WJ,0.0,1.0,0.5,0.6504,0.8147,0.73255,Trained,0.0%,50.0%
intense hydration ultra repair cream,B081RBRCMJ,0.2543,0.6504,0.45235000000000003,0.0,0.733,0.3665,Baseline,33.3%,33.3%
eyebrow fiber for defined brows,B07JLYP98Q,0.5057,0.793,0.6493500000000001,0.0,0.7648,0.3824,Baseline,50.0%,25.0%
eyebrow fiber for defined brows,B083H7G738,0.637,0.7847,0.71085,2.5849,0.8867,1.7358000000000002,Trained,40.0%,40.0%
eyebrow fiber for defined brows,B01MATMJXF,0.0,0.6466,0.3233,0.0,1.0,0.5,Trained,33.3%,50.0%
silicone nail art mat for salon use,B07J9T4QVR,0.7768,1.0,0.8884000000000001,3.7553,1.0,2.37765,Trained,28.6%,57.1%
silicone nail art mat for salon use,B0928BHSV4,0.6373,0.9223,0.7798,1.1543,0.5543,0.8543000000000001,Trained,25.0%,62.5%
silicone nail art mat for salon use,B09S33FR5H,3.539,0.9172,2.2281,1.77,0.7553,1.26265,Baseline,33.3%,55.6%
body butter for dry skin with shea butter,B08WM4CXT7,0.0,1.0,0.5,0.6035,1.0,0.80175,Trained,30.0%,60.0%
body butter for dry skin with shea butter,B09BHYPJ3Q,1.3722,1.0,1.1861000000000002,0.2675,1.0,0.63375,Baseline,36.4%,54.5%
body butter for dry skin with shea butter,B00VU7YSVY,2.255,0.9641,1.60955,0.2829,0.9535,0.6182,Baseline,41.7%,50.0%
butterfly hair clip with tassel for thick hair,B092CT47J1,0.0,0.8211,0.41055,1.5949,0.6431,1.119,Trained,38.5%,53.8%
butterfly hair clip with tassel for thick hair,B018CJ98LC,0.0,0.8313,0.41565,0.0,1.0,0.5,Trained,35.7%,57.1%
butterfly hair clip with tassel for thick hair,B08C76XQCQ,4.9666,1.0,2.9833,0.8186,0.9848,0.9017,Baseline,40.0%,53.3%
vegan lip balm with lemongrass 5 pack,B0735D8CCY,0.0,0.4822,0.2411,1.3644,0.5551,0.9597500000000001,Trained,37.5%,56.2%
vegan lip balm with lemongrass 5 pack,B098F1Z311,0.0,0.589,0.2945,1.2686,0.7836,1.0261,Trained,35.3%,58.8%
vegan lip balm with lemongrass 5 pack,B07XKCBF5Q,0.9496,0.8473,0.89845,0.0,0.8807,0.44035,Baseline,38.9%,55.6%
strong hair shampoo thickening fullness,B0B64W2DKK,0.0,1.0,0.5,0.0,0.7873,0.39365,Baseline,42.1%,52.6%
strong hair shampoo thickening fullness,B082SZTGRB,0.0,0.7484,0.3742,0.4672,0.8977,0.68245,Trained,40.0%,55.0%
strong hair shampoo thickening fullness,B09NBNC7XV,1.8273,0.5875,1.2074,0.5312,0.8,0.6656,Baseline,42.9%,52.4%
black braid hair 24 inch,B096Y112VT,0.0,0.0,0.0,1.9696,0.8518,1.4107,Trained,40.9%,54.5%
black braid hair 24 inch,B08P8CPW24,0.0,0.9387,0.46935,4.2394,0.9258,2.5826,Trained,39.1%,56.5%
black braid hair 24 inch,B098FGQ9Z6,0.0,0.9447,0.47235,0.0,0.8102,0.4051,Baseline,41.7%,54.2%
fleece sweatshirt big & tall with ribbed collar,B09HW26SWL,0.1205,0.7958,0.45814999999999995,0.1776,0.8499,0.51375,Trained,40.0%,56.0%
fleece sweatshirt big & tall with ribbed collar,B09D3NVGDX,0.0,1.0,0.5,0.0,0.8477,0.42385,Baseline,42.3%,53.8%
fleece sweatshirt big & tall with ribbed collar,B0819KD2Q1,0.0,0.5642,0.2821,0.0,0.6041,0.30205,Trained,40.7%,55.6%
plus size underwear soft cotton briefs,B0834C3KYG,0.5679,0.9632,0.76555,0.0,0.893,0.4465,Baseline,42.9%,53.6%
plus size underwear soft cotton briefs,B077THFWSZ,0.0,0.8555,0.42775,0.0,0.9291,0.46455,Trained,41.4%,55.2%
plus size underwear soft cotton briefs,B005GVBU2K,0.0,0.8408,0.4204,0.0,0.8102,0.4051,Baseline,43.3%,53.3%
black sandals non slip thick sole,B082M1P54F,0.0,0.8319,0.41595,0.6353,0.6856,0.66045,Trained,41.9%,54.8%
black sandals non slip thick sole,B0BPPFZ813,0.0,1.0,0.5,0.9469,0.9205,0.9337,Trained,40.6%,56.2%
black sandals non slip thick sole,B0C2C4BP1V,0.0,0.9208,0.4604,1.2093,0.6474,0.92835,Trained,39.4%,57.6%
funny saying t shirt birthday gift,B08T7B88ZR,2.9347,1.0,1.96735,0.4558,0.7232,0.5894999999999999,Baseline,41.2%,55.9%
funny saying t shirt birthday gift,B09JC2VHF8,0.0,1.0,0.5,0.0,0.7586,0.3793,Baseline,42.9%,54.3%
funny saying t shirt birthday gift,B07S2YXDGK,0.0,0.539,0.2695,14.288,0.8509,7.56945,Trained,41.7%,55.6%
Modern unisex seaside sneaker,B076JX4QWT,0.7649,1.0,0.88245,0.0,0.8575,0.42875,Baseline,43.2%,54.1%
Modern unisex seaside sneaker,B0BH3ZNZWG,0.1637,1.0,0.58185,0.0,0.7757,0.38785,Baseline,44.7%,52.6%
Modern unisex seaside sneaker,B0B6VZQ7XG,0.7436,0.4116,0.5776,0.0,0.4297,0.21485,Baseline,46.2%,51.3%
red cycling jersey for mountain bike,B0796RQBYL,0.0,0.5257,0.26285,2.7491,0.8606,1.80485,Trained,45.0%,52.5%
red cycling jersey for mountain bike,B07C7XYD67,0.0,0.924,0.462,0.4216,0.8731,0.64735,Trained,43.9%,53.7%
red cycling jersey for mountain bike,B08TRX6WR5,0.7928,0.9003,0.8465499999999999,1.8673,0.6927,1.28,Trained,42.9%,54.8%
women's insulated gloves thinsulate cold weather,B00FS9CWCC,0.0,0.881,0.4405,0.0,0.7808,0.3904,Baseline,44.2%,53.5%
women's insulated gloves thinsulate cold weather,B081JQTQ5V,0.5036,0.9516,0.7276,0.8949,0.8485,0.8717,Trained,43.2%,54.5%
women's insulated gloves thinsulate cold weather,B0B8XBJDQB,0.8816,0.8547,0.86815,2.3009,0.7918,1.54635,Trained,42.2%,55.6%
off shoulder top bell sleeves summer event,B08YK5N7KC,0.7694,0.8542,0.8118,0.0667,1.0,0.53335,Baseline,43.5%,54.3%
off shoulder top bell sleeves summer event,B088FNF56Z,0.6614,0.731,0.6961999999999999,0.0,0.7568,0.3784,Baseline,44.7%,53.2%
off shoulder top bell sleeves summer event,B0B122J8NX,1.5779,0.727,1.15245,1.3801,0.8392,1.10965,Baseline,45.8%,52.1%
moonstone triple moon cuff bracelet,B09JV9V753,0.0,0.7721,0.38605,0.0,0.8972,0.4486,Trained,44.9%,53.1%
moonstone triple moon cuff bracelet,B07C2KKH1F,0.8574,0.6744,0.7659,0.6703,0.6618,0.66605,Baseline,46.0%,52.0%
moonstone triple moon cuff bracelet,B0765N8M8W,0.7612,1.0,0.8806,0.0,0.9159,0.45795,Baseline,47.1%,51.0%
sea glass turquoise earrings handmade,B07RC1SJ2J,0.0,0.7691,0.38455,0.5195,0.7313,0.6254,Trained,46.2%,51.9%
sea glass turquoise earrings handmade,B07CMMS8PV,0.8064,0.938,0.8722,0.0,0.8333,0.41665,Baseline,47.2%,50.9%
sea glass turquoise earrings handmade,B079SRWT8R,1.0576,0.8414,0.9495,2.4209,0.7981,1.6095000000000002,Trained,46.3%,51.9%
handmade bible globe ornament Christmas,B01C4I9J16,0.0,0.7396,0.3698,0.5486,1.0,0.7743,Trained,45.5%,52.7%
handmade bible globe ornament Christmas,B09JLVS7GC,0.0,1.0,0.5,0.0,1.0,0.5,Tie,44.6%,51.8%
handmade bible globe ornament Christmas,B08L76V45M,0.0,0.7878,0.3939,2.9748,0.6971,1.83595,Trained,43.9%,52.6%
broken heart necklace gold,B092JJS23Q,0.0,1.0,0.5,0.5756,0.8939,0.73475,Trained,43.1%,53.4%
broken heart necklace gold,B0C2MWSP5J,0.0,0.8265,0.41325,2.7373,0.7753,1.7563,Trained,42.4%,54.2%
broken heart necklace gold,B0BS49JQMK,0.0,0.0,0.0,0.0,1.0,0.5,Trained,41.7%,55.0%
lightweight geometric leather earrings,B07MXRJRTG,0.0,0.0,0.0,0.0,0.5993,0.29965,Trained,41.0%,55.7%
lightweight geometric leather earrings,B07PYXLPSK,0.0,0.5713,0.28565,1.2694,0.5924,0.9309000000000001,Trained,40.3%,56.5%
lightweight geometric leather earrings,B085WNDGQB,1.2675,0.7895,1.0285,0.0482,0.8172,0.43270000000000003,Baseline,41.3%,55.6%
customize dog name tag for gold,B09V7MRMJ7,0.0,1.0,0.5,2.2642,1.0,1.6321,Trained,40.6%,56.2%
customize dog name tag for gold,B09TDLSJZX,2.7881,1.0,1.89405,0.0,1.0,0.5,Baseline,41.5%,55.4%
customize dog name tag for gold,B0BR846PYC,1.2167,0.8311,1.0238999999999998,0.7788,1.0,0.8894,Baseline,42.4%,54.5%
skull skeleton silicone cake mold,B07M757257,0.0,0.0,0.0,0.0,1.0,0.5,Trained,41.8%,55.2%
skull skeleton silicone cake mold,B09VBTSJVG,0.0,0.9896,0.4948,0.8409,0.4399,0.6404,Trained,41.2%,55.9%
skull skeleton silicone cake mold,B08FR3LBN4,0.5048,1.0,0.7524,0.8039,1.0,0.90195,Trained,40.6%,56.5%
Red Rose Afghan hound dish towel,B07X28213H,0.7079,0.6928,0.70035,0.7684,0.6451,0.70675,Trained,40.0%,57.1%
Red Rose Afghan hound dish towel,B085128GG9,0.0,0.8288,0.4144,1.2684,0.6287,0.94855,Trained,39.4%,57.7%
Red Rose Afghan hound dish towel,B015T1WKF2,0.0,0.9521,0.47605,2.1883,0.8505,1.5194,Trained,38.9%,58.3%
stainless steel oil filter for cooking,B07W4YVMP1,0.099,0.894,0.4965,0.9727,0.8534,0.91305,Trained,38.4%,58.9%
stainless steel oil filter for cooking,B08BJQS4ZX,0.0,0.8181,0.40905,0.9709,0.9278,0.9493499999999999,Trained,37.8%,59.5%
stainless steel oil filter for cooking,B091D468ZB,0.6381,0.8759,0.757,1.3182,0.7576,1.0379,Trained,37.3%,60.0%
essential oil storage box 40 bottle capacity,B07JD1Z2BM,0.0,1.0,0.5,1.7873,0.9516,1.36945,Trained,36.8%,60.5%
