query,product_id,Baseline_Vis,Baseline_VGS,Baseline_Overall,Trained_Vis,Trained_VGS,Trained_Overall,Winner,Baseline_Pct,Trained_Pct
intense hydration ultra repair cream,B003XKKCZW,0.0,1.0,0.5,0.0,1.0,0.5,Tie,0.0%,0.0%
intense hydration ultra repair cream,B07M7BR7WJ,0.0,1.0,0.5,0.8266,0.8347,0.83065,Trained,0.0%,50.0%
intense hydration ultra repair cream,B081RBRCMJ,0.0,0.6907,0.34535,0.6465,0.7303,0.6883999999999999,Trained,0.0%,66.7%
eyebrow fiber for defined brows,B07JLYP98Q,1.6219,0.7933,1.2076,0.0,0.7295,0.36475,Baseline,25.0%,50.0%
eyebrow fiber for defined brows,B083H7G738,0.6195,0.9892,0.80435,3.3629,0.7729,2.0679,Trained,20.0%,60.0%
eyebrow fiber for defined brows,B01MATMJXF,1.0622,0.9775,1.01985,0.0,1.0,0.5,Baseline,33.3%,50.0%
silicone nail art mat for salon use,B07J9T4QVR,1.656,1.0,1.3279999999999998,1.0173,1.0,1.00865,Baseline,42.9%,42.9%
silicone nail art mat for salon use,B0928BHSV4,0.0,0.8239,0.41195,0.9418,0.5332,0.7375,Trained,37.5%,50.0%
silicone nail art mat for salon use,B09S33FR5H,1.4958,0.8373,1.16655,3.2349,0.7764,2.00565,Trained,33.3%,55.6%
body butter for dry skin with shea butter,B08WM4CXT7,0.0,0.9169,0.45845,0.4138,0.9709,0.69235,Trained,30.0%,60.0%
body butter for dry skin with shea butter,B09BHYPJ3Q,0.7649,1.0,0.88245,1.9457,0.9816,1.46365,Trained,27.3%,63.6%
body butter for dry skin with shea butter,B00VU7YSVY,1.0163,0.9403,0.9783,0.0618,0.9333,0.49755,Baseline,33.3%,58.3%
butterfly hair clip with tassel for thick hair,B092CT47J1,0.0,0.9109,0.45545,5.8463,0.7763,3.3113,Trained,30.8%,61.5%
butterfly hair clip with tassel for thick hair,B018CJ98LC,0.4278,1.0,0.7139,0.0,0.942,0.471,Baseline,35.7%,57.1%
butterfly hair clip with tassel for thick hair,B08C76XQCQ,1.6562,1.0,1.3281,1.5335,0.949,1.24125,Baseline,40.0%,53.3%
vegan lip balm with lemongrass 5 pack,B0735D8CCY,0.3634,0.5377,0.45055,4.2884,0.5436,2.416,Trained,37.5%,56.2%
vegan lip balm with lemongrass 5 pack,B098F1Z311,0.0,0.6157,0.30785,0.5546,0.7514,0.653,Trained,35.3%,58.8%
vegan lip balm with lemongrass 5 pack,B07XKCBF5Q,0.6381,0.6034,0.62075,0.8092,0.6052,0.7072,Trained,33.3%,61.1%
strong hair shampoo thickening fullness,B0B64W2DKK,0.2626,0.8145,0.53855,2.4438,0.71,1.5769,Trained,31.6%,63.2%
strong hair shampoo thickening fullness,B082SZTGRB,0.0,0.7645,0.38225,0.0,1.0,0.5,Trained,30.0%,65.0%
